,model-name,acc-mean,acc-stddev,precision-mean,precision-stddev,recall-mean,recall-stddev,fscore-mean,fscore-stddev
0,neural model with 3 layers,0.05499430661278678,0.0059030980998546236,0.046968488741820816,0.005061351716290747,0.05353848803958735,0.004676876155579842,0.04016401052789364,0.005868161203628664
1,neural model with conv2d layer,0.08927935533277002,0.003695893053801105,0.02054143903660715,0.00933477667547471,0.054001176003903875,0.0010996053212562217,0.017258223978317003,0.00292864650495462
2,neural model with conv2d and conv1d layers,0.08224412506565341,0.010424422821399599,0.011135350571519778,0.011792373707259272,0.05263307302427051,0.000215152825969084,0.013159867278774249,0.00908516320044619
