,model-name,acc-mean,acc-stddev,precision-mean,precision-stddev,recall-mean,recall-stddev,fscore-mean,fscore-stddev
0,basic,0.47245299291166426,0.0090708914965828,0.6025424862201806,0.007675991046270383,0.40872665368965727,0.009681140185895401,0.4187488068850858,0.011449802889354785
1,only lowercase,0.4747636336599719,0.009791631842502717,0.600756393700477,0.007097581940697068,0.4105539408637332,0.00881981529956088,0.4207725565431003,0.00788431628008022
2,only lowercase with 2-grams,0.5586317877640037,0.009953759604257602,0.7212190014100995,0.036087652570735006,0.5001798801234132,0.010809173489254259,0.5265813393758223,0.012525074585078256
3,only lowercase with 3-grams,0.5873782101875066,0.01125438643852991,0.7584834522691427,0.03379246860670855,0.5322866230326803,0.012206902229388552,0.5642301492739844,0.01272323898746963
