,model-name,acc-mean,acc-stddev,precision-mean,precision-stddev,recall-mean,recall-stddev,fscore-mean,fscore-stddev
0,basic,0.6851479378165338,0.005167034314872194,0.8461340975541772,0.003541421491539736,0.6609118622358746,0.005852634799416006,0.7123572693879403,0.005720046332828404
1,only lowercase,0.7035281108403312,0.0045685684238329525,0.8547389387928036,0.0035742284549822585,0.6783249677321731,0.005036874899579466,0.7281079810777144,0.005280983735346811
2,only lowercase with 2-grams,0.6988034777859752,0.004061194862756528,0.8623555560103031,0.0016528723144138538,0.6724293082099646,0.003583741151145853,0.7246079372032708,0.003967431583781545
